time,x,y,yaw,vel_x,yaw_vel
2.81E-05,,,,,
0.015093565,1.8251415,0.00229176,0.003778604,1.4990552,0.000357255
0.015494585,1.8251415,0.00229176,0.003778604,1.4990552,0.000357255
0.04899168,1.874124137,0.002485761,0.003788324,1.499127215,0.000266037
0.04990077,1.874124137,0.002485761,0.003788324,1.499127215,0.000266037
0.082678795,1.923169424,0.00268012,0.003795671,1.499198711,0.000219907
0.083554029,1.923169424,0.00268012,0.003795671,1.499198711,0.000219907
0.117661238,1.972277044,0.002874788,0.003802085,1.49926976,0.00020582
0.119689465,1.972277044,0.002874788,0.003802085,1.49926976,0.00020582
0.1527915,2.021446623,0.003069755,0.003808065,1.499340274,0.000191102
0.153890133,2.021446623,0.003069755,0.003808065,1.499340274,0.000191102
0.192567348,2.070677767,0.003264967,0.003813366,1.499410372,0.000168037
0.193264246,2.070677767,0.003264967,0.003813366,1.499410372,0.000168037
0.232757092,2.119970075,0.003460379,0.003817888,1.499480001,0.00014888
0.234364033,2.119970075,0.003460379,0.003817888,1.499480001,0.00014888
0.268825531,2.169323144,0.003655954,0.003821986,1.499548994,0.000143431
0.269704819,2.169323144,0.003655954,0.003821986,1.499548994,0.000143431
0.305151939,2.219756262,0.003833684,0.002816067,1.520601934,-0.070673757
0.308385134,2.219756262,0.003833684,0.002816067,1.520601934,-0.070673757
0.3426373,2.270539099,0.003892256,-0.000641484,1.514543448,-0.118869955
0.343526125,2.270539099,0.003892256,-0.000641484,1.514543448,-0.118869955
0.37968421,2.321250187,0.003752714,-0.005118261,1.516819028,-0.133710559
0.380754232,2.321250187,0.003752714,-0.005118261,1.516819028,-0.133710559
0.419534922,2.372217836,0.003421009,-0.00755542,1.518847081,0.009534951
0.42021656,2.372217836,0.003421009,-0.00755542,1.518847081,0.009534951
0.453730822,2.423250231,0.003099728,-0.005577085,1.511783978,0.069922079
0.454739571,2.423250231,0.003099728,-0.005577085,1.511783978,0.069922079
0.492497921,2.474260165,0.002855454,-0.004775956,1.510924415,-0.020775349
0.493434429,2.474260165,0.002855454,-0.004775956,1.510924415,-0.020775349
0.530218601,2.525273691,0.002571482,-0.006100957,1.510214497,-0.031596576
0.531273127,2.525273691,0.002571482,-0.006100957,1.510214497,-0.031596576
0.570808172,2.576286651,0.002241653,-0.006229782,1.509225942,0.021703515
0.579242229,2.576286651,0.002241653,-0.006229782,1.509225942,0.021703515
0.613428831,2.627299677,0.001934537,-0.005462929,1.508221547,0.013745136
0.614292383,2.627299677,0.001934537,-0.005462929,1.508221547,0.013745136
0.650789499,2.678314833,0.001637545,-0.00558096,1.507384484,-0.013349843
0.651393652,2.678314833,0.001637545,-0.00558096,1.507384484,-0.013349843
0.688654184,2.729331062,0.00132894,-0.005836298,1.506504959,0.000323731
0.689439535,2.729331062,0.00132894,-0.005836298,1.506504959,0.000323731
0.725865602,2.780348204,0.001030421,-0.005620418,1.505500039,0.006906713
0.72637248,2.780348204,0.001030421,-0.005620418,1.505500039,0.006906713
0.763119698,2.831365753,0.000748227,-0.005523012,1.504700343,-0.00290572
0.763699532,2.831365753,0.000748227,-0.005523012,1.504700343,-0.00290572
0.799543619,2.882384541,0.000468992,-0.005662589,1.503918809,-0.004079868
0.800214529,2.882384541,0.000468992,-0.005662589,1.503918809,-0.004079868
0.834507942,2.93340384,0.000190599,-0.00567805,1.50316165,0.00221216
0.835742474,2.93340384,0.000190599,-0.00567805,1.50316165,0.00221216
0.870153189,2.984423813,-8.37E-05,-0.005672537,1.502447347,-0.003154764
0.870907068,2.984423813,-8.37E-05,-0.005672537,1.502447347,-0.003154764
0.90649128,3.035444727,-0.00037057,-0.005803338,1.501750209,-0.002065378
0.907222033,3.035444727,-0.00037057,-0.005803338,1.501750209,-0.002065378
0.941714287,3.08646609,-0.000671006,-0.005789271,1.501050087,0.002623995
0.942250252,3.08646609,-0.000671006,-0.005789271,1.501050087,0.002623995
0.980043411,3.137488158,-0.000972039,-0.005714076,1.500413732,0.001811125
0.980646372,3.137488158,-0.000972039,-0.005714076,1.500413732,0.001811125
1.015466213,3.188507613,-0.001262848,-0.005661564,1.500328665,0.000758655
1.01602006,3.188507613,-0.001262848,-0.005661564,1.500328665,0.000758655
1.053248644,3.239527093,-0.001551567,-0.005675074,1.500339614,-0.001035095
1.054932594,3.239527093,-0.001551567,-0.005675074,1.500339614,-0.001035095
1.091394186,3.290546841,-0.001841845,-0.005700085,1.500345517,-0.000104386
1.091990232,3.290546841,-0.001841845,-0.005700085,1.500345517,-0.000104386
1.125260592,3.341566763,-0.002132527,-0.005685837,1.500351439,0.000665105
1.125832081,3.341566763,-0.002132527,-0.005685837,1.500351439,0.000665105
1.160874844,3.392586936,-0.002422488,-0.005674102,1.500360136,-2.32E-05
1.16152668,3.392586936,-0.002422488,-0.005674102,1.500360136,-2.32E-05
1.196793795,3.44360739,-0.002712604,-0.00568282,1.500367902,-0.000274124
1.197411537,3.44360739,-0.002712604,-0.00568282,1.500367902,-0.000274124
1.231569529,3.494627729,-0.003003285,-0.005688869,1.500602153,-2.86E-05
1.232280254,3.494627729,-0.003003285,-0.005688869,1.500602153,-2.86E-05
1.265427828,3.545646644,-0.003294191,-0.005684139,1.500566124,0.000221531
1.266331196,3.545646644,-0.003294191,-0.005684139,1.500566124,0.000221531
1.302392244,3.596664356,-0.003584908,-0.005679053,1.500531137,4.12E-05
1.303384304,3.596664356,-0.003584908,-0.005679053,1.500531137,4.12E-05
1.338502169,3.647680881,-0.003875659,-0.005680241,1.500496035,-5.84E-05
1.339570522,3.647680881,-0.003875659,-0.005680241,1.500496035,-5.84E-05
1.380598068,3.698696202,-0.004166584,-0.005680264,1.500460577,6.27E-05
1.382561684,3.698696202,-0.004166584,-0.005680264,1.500460577,6.27E-05
1.416848183,3.74971032,-0.004457519,-0.005677276,1.500425325,8.29E-05
1.417960882,3.74971032,-0.004457519,-0.005677276,1.500425325,8.29E-05
1.45194459,3.800723242,-0.004748417,-0.005675952,1.500390233,4.40E-06
1.452493191,3.800723242,-0.004748417,-0.005675952,1.500390233,4.40E-06
1.486723423,3.851734969,-0.005039378,-0.005676135,1.500354998,7.37E-06
1.487329483,3.851734969,-0.005039378,-0.005676135,1.500354998,7.37E-06
1.522387505,3.902745496,-0.005330396,-0.005675269,1.500319699,4.53E-05
1.523583174,3.902745496,-0.005330396,-0.005675269,1.500319699,4.53E-05
1.559587955,3.953754825,-0.005621409,-0.005674062,1.50028451,2.84E-05
1.560621023,3.953754825,-0.005621409,-0.005674062,1.50028451,2.84E-05
1.596528053,4.004762958,-0.005912431,-0.005673801,1.500249331,6.06E-06
1.597234011,4.004762958,-0.005912431,-0.005673801,1.500249331,6.06E-06
1.634246588,4.055769895,-0.006203484,-0.005673726,1.50021413,1.56E-05
1.635855436,4.055769895,-0.006203484,-0.005673726,1.50021413,1.56E-05
1.669471979,4.106775634,-0.006494551,-0.005673338,1.500178894,2.06E-05
1.670429468,4.106775634,-0.006494551,-0.005673338,1.500178894,2.06E-05
1.707639217,4.157780177,-0.006785614,-0.005673141,1.50014375,8.57E-06
1.708467722,4.157780177,-0.006785614,-0.005673141,1.50014375,8.57E-06
1.741972446,4.208783524,-0.007076682,-0.005673323,1.500108532,3.96E-06
1.742736101,4.208783524,-0.007076682,-0.005673323,1.500108532,3.96E-06
1.778712034,4.259785674,-0.007367755,-0.005673497,1.500073381,6.74E-06
1.779514074,4.259785674,-0.007367755,-0.005673497,1.500073381,6.74E-06
1.813127995,4.310786628,-0.007658821,-0.00567369,1.500038149,4.15E-06
1.814003706,4.310786628,-0.007658821,-0.00567369,1.500038149,4.15E-06
1.849950552,4.361786385,-0.007949877,-0.005674052,1.500003029,-1.55E-06
1.850740671,4.361786385,-0.007949877,-0.005674052,1.500003029,-1.55E-06
1.884822607,4.412784947,-0.008240922,-0.005674565,1.499967786,-2.75E-06
1.885911226,4.412784947,-0.008240922,-0.005674565,1.499967786,-2.75E-06
1.922408342,4.463782313,-0.008531951,-0.005675084,1.499932669,-3.60E-06
1.923770905,4.463782313,-0.008531951,-0.005675084,1.499932669,-3.60E-06
1.959964514,4.514778482,-0.008822959,-0.005675692,1.499897416,-6.40E-06
1.961232901,4.514778482,-0.008822959,-0.005675692,1.499897416,-6.40E-06
1.995971441,4.565773455,-0.009113943,-0.005676384,1.499862312,-9.10E-06
1.997955561,4.565773455,-0.009113943,-0.005676384,1.499862312,-9.10E-06
2.038104057,4.616767232,-0.009404898,-0.005677149,1.499827043,-1.01E-05
2.039755106,4.616767232,-0.009404898,-0.005677149,1.499827043,-1.01E-05
2.07556963,4.667759811,-0.00969582,-0.005677928,1.499791942,-1.17E-05
2.076889992,4.667759811,-0.00969582,-0.005677928,1.499791942,-1.17E-05
2.109736919,4.718751196,-0.009986705,-0.005678776,1.499756567,-1.36E-05
2.110957623,4.718751196,-0.009986705,-0.005678776,1.499756567,-1.36E-05
2.145833015,4.769741382,-0.010277549,-0.005679649,1.499721467,-1.50E-05
2.146637201,4.769741382,-0.010277549,-0.005679649,1.499721467,-1.50E-05
2.179572582,4.820730373,-0.010568347,-0.00568056,1.49968616,-1.60E-05
2.180207253,4.820730373,-0.010568347,-0.00568056,1.49968616,-1.60E-05
2.216881037,4.871718165,-0.010859095,-0.00568147,1.499651055,-1.73E-05
2.21851182,4.871718165,-0.010859095,-0.00568147,1.499651055,-1.73E-05
2.252156496,4.922704762,-0.011149789,-0.005682413,1.499615725,-1.84E-05
2.253094673,4.922704762,-0.011149789,-0.005682413,1.499615725,-1.84E-05
2.290322542,4.973690159,-0.011440425,-0.005683346,1.499580607,-1.92E-05
2.291219473,4.973690159,-0.011440425,-0.005683346,1.499580607,-1.92E-05
