time,x,y,yaw,vel_x,yaw_vel,evader_x,evader_y,evader_yaw
3.00E-05,,,,,,,,
0.965079308,6.56E-05,-4.61E-06,6.78E-06,,,2.000065531,1.999995393,6.72E-06
0.999254227,6.56E-05,-4.61E-06,6.81E-06,,,2.000065544,1.999995392,6.74E-06
1.033038855,6.56E-05,-4.61E-06,6.81E-06,,,2.000065561,1.999995392,6.77E-06
1.066775322,6.56E-05,-4.61E-06,6.78E-06,,,2.000065553,1.999995393,6.78E-06
1.101700068,6.56E-05,-4.61E-06,6.76E-06,,,2.000065548,1.99999539,6.79E-06
1.136195898,6.56E-05,-4.61E-06,6.76E-06,,,2.000065545,1.999995393,6.78E-06
1.170153618,6.56E-05,-4.61E-06,6.78E-06,,,2.000065547,1.999995392,6.77E-06
1.20493865,6.56E-05,-4.61E-06,6.80E-06,,,2.000065559,1.999995393,6.75E-06
1.238828182,6.57E-05,-4.61E-06,6.82E-06,,,2.000065585,1.999995392,6.75E-06
1.27234602,6.56E-05,-4.61E-06,6.83E-06,,,2.000065613,1.999995392,6.77E-06
1.30606246,6.56E-05,-4.61E-06,6.83E-06,,,2.000065618,1.999995392,6.78E-06
1.340124846,6.56E-05,-4.61E-06,6.83E-06,,,2.000065623,1.999995392,6.81E-06
1.373965979,6.56E-05,-4.61E-06,6.82E-06,,,2.000065633,1.999995391,6.82E-06
1.402209044,6.56E-05,-4.61E-06,6.82E-06,0,0,2.000065617,1.999995392,6.82E-06
1.436387539,6.56E-05,-4.61E-06,6.81E-06,0,0,2.000065615,1.999995392,6.82E-06
1.47010994,6.57E-05,-4.61E-06,6.81E-06,0,0,2.000065607,1.999995392,6.81E-06
1.504347086,6.57E-05,-4.61E-06,6.81E-06,0.23,nan,2.00006562,1.999995392,6.79E-06
1.538461924,6.57E-05,-4.61E-06,6.81E-06,0.23,nan,2.000065648,1.999995392,6.79E-06
1.539503813,6.57E-05,-4.61E-06,6.82E-06,0.23,nan,2.000065648,1.999995392,6.79E-06
1.57219553,6.57E-05,-4.61E-06,6.84E-06,0.23,nan,2.000065665,1.999995392,6.80E-06
1.607265472,6.57E-05,-4.61E-06,6.86E-06,0.23,nan,2.000065688,1.99999539,6.82E-06
1.640772581,6.57E-05,-4.61E-06,6.86E-06,0.23,nan,2.000065685,1.999995391,6.84E-06
1.675106287,6.57E-05,-4.61E-06,6.87E-06,0.23,nan,2.000065683,1.999995391,6.86E-06
1.675841808,6.57E-05,-4.61E-06,6.87E-06,0.23,nan,2.000065683,1.999995391,6.86E-06
1.709186792,6.57E-05,-4.61E-06,6.88E-06,0.23,nan,2.000065685,1.999995391,6.86E-06
1.743588924,6.57E-05,-4.61E-06,6.87E-06,0.23,nan,2.000065675,1.999995391,6.86E-06
1.777504444,6.57E-05,-4.61E-06,6.87E-06,0.23,nan,2.000065687,1.999995391,6.84E-06
1.811644554,6.57E-05,-4.61E-06,6.86E-06,0.23,nan,2.000065711,1.999995391,6.82E-06
1.81243515,6.57E-05,-4.61E-06,6.85E-06,0.23,nan,2.000065711,1.999995391,6.82E-06
1.845966101,6.58E-05,-4.61E-06,6.85E-06,0.23,nan,2.00006572,1.999995391,6.82E-06
1.880032539,6.58E-05,-4.61E-06,6.86E-06,0.23,nan,2.000065736,1.99999539,6.84E-06
1.914002419,6.58E-05,-4.61E-06,6.86E-06,0.23,nan,2.00006573,1.999995391,6.88E-06
1.947669744,6.58E-05,-4.61E-06,6.87E-06,0.23,nan,2.000065729,1.999995391,6.90E-06
1.948441744,6.58E-05,-4.61E-06,6.89E-06,0.23,nan,2.000065729,1.999995391,6.90E-06
1.981436491,6.58E-05,-4.61E-06,6.90E-06,0.23,nan,2.00006573,1.999995391,6.89E-06
2.024432898,6.58E-05,-4.61E-06,6.91E-06,0.23,nan,2.000065751,1.999995391,6.86E-06
2.069283485,6.58E-05,-4.61E-06,6.91E-06,0.23,nan,2.000065776,1.99999539,6.84E-06
2.070202112,6.58E-05,-4.61E-06,6.92E-06,0.23,nan,2.000065776,1.99999539,6.84E-06
2.106563807,6.58E-05,-4.61E-06,6.92E-06,0.23,nan,2.000065788,1.99999539,6.85E-06
2.138694286,6.58E-05,-4.61E-06,6.92E-06,0.23,nan,2.000065789,1.999995389,6.88E-06
2.171661139,6.58E-05,-4.61E-06,6.92E-06,0.23,nan,2.000065797,1.999995388,6.92E-06
2.218627214,6.58E-05,-4.61E-06,6.91E-06,0.23,nan,2.000065785,1.999995389,6.94E-06
2.219737053,6.58E-05,-4.61E-06,6.90E-06,0.23,nan,2.000065785,1.999995389,6.94E-06
2.248809099,6.58E-05,-4.61E-06,6.89E-06,0.23,nan,2.000065779,1.999995388,6.93E-06
2.271193266,6.59E-05,-4.61E-06,6.90E-06,0.23,nan,2.000065779,1.999995388,6.93E-06
2.272449493,6.59E-05,-4.61E-06,6.90E-06,0.23,nan,2.000065779,1.999995388,6.93E-06
2.287984133,6.59E-05,-4.61E-06,6.93E-06,0.23,nan,2.000065782,1.99999539,6.90E-06
2.289557695,6.59E-05,-4.61E-06,6.93E-06,0.23,nan,2.000065782,1.99999539,6.90E-06
2.31906867,-0.001086188,-4.61E-06,8.88E-06,0.23,nan,2.001217339,1.999995388,4.83E-06
2.319687843,-0.001086188,-4.61E-06,8.88E-06,0.23,nan,2.001217339,1.999995388,4.83E-06
2.346658707,-0.001086188,-4.61E-06,8.88E-06,0.23,nan,2.003520375,1.999995378,1.22E-06
2.352162838,-0.00339413,-4.62E-06,1.19E-05,0.23,nan,2.003520375,1.999995378,1.22E-06
2.385688543,-0.006861208,-4.64E-06,1.38E-05,0.23,nan,2.006814137,1.999996043,0.000423973
2.386160374,-0.006861208,-4.64E-06,1.38E-05,0.23,nan,2.006814137,1.999996043,0.000423973
2.38912487,-0.006861208,-4.64E-06,1.38E-05,0.23,8.14E-05,2.006814137,1.999996043,0.000423973
