time,x,y,yaw,vel_x,yaw_vel,evader_x,evader_y,evader_yaw
3.15E-05,,,,,,,,
0.017453432,6.02E-05,-4.46E-06,3.85E-06,,,2.000060288,1.999995533,3.86E-06
0.049746752,6.02E-05,-4.46E-06,3.84E-06,,,2.000060289,1.999995532,3.88E-06
0.083143234,6.02E-05,-4.46E-06,3.83E-06,,,2.000060294,1.999995529,3.90E-06
0.116569042,6.03E-05,-4.46E-06,3.83E-06,,,2.000060297,1.999995528,3.91E-06
0.149818182,6.03E-05,-4.47E-06,3.85E-06,,,2.000060281,1.999995528,3.91E-06
0.183581352,6.03E-05,-4.47E-06,3.87E-06,,,2.000060278,1.999995526,3.90E-06
0.217438698,6.03E-05,-4.47E-06,3.89E-06,,,2.000060278,1.999995527,3.89E-06
0.250943899,6.03E-05,-4.47E-06,3.90E-06,,,2.000060293,1.999995526,3.88E-06
0.286073208,6.03E-05,-4.47E-06,3.90E-06,,,2.000060323,1.999995525,3.88E-06
0.32031703,6.03E-05,-4.47E-06,3.90E-06,,,2.000060351,1.999995525,3.90E-06
0.354423761,6.03E-05,-4.47E-06,3.89E-06,,,2.000060367,1.999995523,3.91E-06
0.387629747,6.03E-05,-4.47E-06,3.88E-06,,,2.00006037,1.999995522,3.93E-06
0.421426296,6.03E-05,-4.47E-06,3.88E-06,,,2.00006038,1.999995521,3.95E-06
0.455427647,6.03E-05,-4.47E-06,3.88E-06,,,2.000060375,1.99999552,3.95E-06
0.48919034,6.03E-05,-4.47E-06,3.90E-06,,,2.000060359,1.999995518,3.95E-06
0.523193121,6.04E-05,-4.48E-06,3.91E-06,,,2.000060358,1.999995519,3.95E-06
0.557109833,6.04E-05,-4.48E-06,3.93E-06,,,2.000060345,1.999995518,3.95E-06
0.591736317,6.04E-05,-4.48E-06,3.94E-06,,,2.000060351,1.999995517,3.94E-06
0.626970291,6.04E-05,-4.48E-06,3.94E-06,,,2.000060372,1.999995516,3.93E-06
0.683521748,6.04E-05,-4.48E-06,3.95E-06,,,2.000060406,1.999995515,3.94E-06
0.740398407,6.03E-05,-4.48E-06,3.95E-06,,,2.000060427,1.999995514,3.95E-06
0.770522594,6.04E-05,-4.48E-06,3.94E-06,,,2.000060454,1.999995512,3.96E-06
0.803572178,6.04E-05,-4.48E-06,3.93E-06,,,2.000060465,1.999995512,3.97E-06
0.841352701,6.04E-05,-4.48E-06,3.93E-06,0,0,2.000060464,1.999995511,3.99E-06
0.872376442,6.04E-05,-4.48E-06,3.92E-06,0,0,2.000060471,1.99999551,4.00E-06
0.903937817,6.04E-05,-4.48E-06,3.93E-06,0,0,2.000060463,1.99999551,4.01E-06
0.904759169,6.04E-05,-4.49E-06,3.95E-06,nan,nan,2.000060463,1.99999551,4.01E-06
0.936559677,-0.001091806,-4.48E-06,5.89E-06,nan,nan,2.000060443,1.999995507,4.01E-06
0.970807314,-0.001091806,-4.48E-06,5.89E-06,nan,nan,2.000060441,1.999995509,4.01E-06
1.005717516,-0.003397026,-4.49E-06,8.92E-06,nan,nan,2.000060454,1.999995508,3.99E-06
1.042140245,-0.006866022,-4.50E-06,1.09E-05,nan,nan,2.000060481,1.999995507,3.98E-06
1.042975187,-0.011487011,-4.51E-06,1.05E-05,0.23,nan,2.000060481,1.999995507,3.98E-06
1.080570936,-0.017265302,-4.52E-06,8.58E-06,0.23,nan,2.000060502,1.999995506,3.98E-06
1.113732338,-0.017265302,-4.52E-06,8.58E-06,0.23,-3.97E-05,2.000060532,1.999995505,4.00E-06
1.147247791,-0.024198648,-4.52E-06,7.05E-06,0.23,-3.97E-05,2.000060536,1.999995505,4.02E-06
1.181219816,-0.029979639,-4.50E-06,4.28E-06,0.23,-3.97E-05,2.000060544,1.999995502,4.04E-06
1.182158709,-0.034606754,-4.47E-06,2.42E-06,0.23,-7.31E-05,2.000060544,1.999995502,4.04E-06
1.217001915,-0.038076134,-4.45E-06,2.77E-06,0.23,-7.31E-05,2.000060549,1.999995502,4.05E-06
1.25065732,-0.038076134,-4.45E-06,2.77E-06,0.23,-2.57E-05,2.00006053,1.999995502,4.05E-06
1.284538269,-0.04038871,-4.45E-06,5.24E-06,0.23,-2.57E-05,2.000060529,1.999995501,4.05E-06
1.286566019,-0.041555683,-4.43E-06,7.44E-06,0.132848865,7.95E-05,2.000060529,1.999995501,4.05E-06
1.313341618,-0.041567596,-4.44E-06,6.01E-06,0.132848865,7.95E-05,2.000060529,1.999995501,4.05E-06
1.347520351,-0.040424077,-4.46E-06,9.78E-07,0.132848865,7.95E-05,2.000060516,1.999995501,4.04E-06
1.347991705,-0.040424077,-4.46E-06,9.78E-07,0.132848865,7.95E-05,2.000060516,1.999995501,4.04E-06
1.351200581,-0.040424077,-4.46E-06,9.78E-07,0.096618608,-0.000109879,2.000060516,1.999995501,4.04E-06
1.381338596,-0.038122556,-4.49E-06,-4.52E-06,0.096618608,-0.000109879,2.001210646,1.999995495,1.98E-06
1.381819487,-0.038122556,-4.49E-06,-4.52E-06,0.096618608,-0.000109879,2.001210646,1.999995495,1.98E-06
1.414783001,-0.034844308,-4.52E-06,-7.49E-06,0.096618608,-0.000109879,2.003516465,1.99999548,-1.62E-06
1.41515708,-0.034844308,-4.52E-06,-7.49E-06,0.096618608,-0.000109879,2.003516465,1.99999548,-1.62E-06
1.417744875,-0.034844308,-4.52E-06,-7.49E-06,0.221798338,-0.000143926,2.003516465,1.99999548,-1.62E-06
1.448792219,-0.031567133,-4.54E-06,-7.90E-06,0.221798338,-0.000143926,2.006808878,1.999996127,0.000421171
