time,x,y,yaw,vel_x,yaw_vel,evader_x,evader_y,evader_yaw
3.67E-05,,,,,,,,
0.007632971,5.95E-05,-4.35E-06,3.48E-06,,,2.000059648,1.999995637,3.55E-06
0.041302204,5.95E-05,-4.35E-06,3.47E-06,,,2.000059703,1.999995633,3.56E-06
0.075135231,5.95E-05,-4.35E-06,3.48E-06,,,2.000059776,1.999995632,3.57E-06
0.109189034,5.96E-05,-4.36E-06,3.50E-06,,,2.000059822,1.999995631,3.56E-06
0.143072367,5.96E-05,-4.36E-06,3.52E-06,,,2.000059859,1.999995628,3.54E-06
0.177388191,5.96E-05,-4.36E-06,3.54E-06,,,2.00005986,1.999995626,3.54E-06
0.210922003,5.97E-05,-4.37E-06,3.57E-06,,,2.000059851,1.999995624,3.55E-06
0.24547863,5.98E-05,-4.37E-06,3.58E-06,,,2.00005984,1.999995621,3.57E-06
0.279238701,5.98E-05,-4.37E-06,3.56E-06,,,2.000059805,1.999995619,3.60E-06
0.313204765,5.99E-05,-4.37E-06,3.53E-06,,,2.000059777,1.999995618,3.62E-06
0.349790812,5.99E-05,-4.37E-06,3.52E-06,,,2.000059771,1.999995616,3.61E-06
0.382976294,5.98E-05,-4.37E-06,3.54E-06,,,2.00005977,1.999995614,3.58E-06
0.416862726,5.98E-05,-4.38E-06,3.57E-06,,,2.000059769,1.999995613,3.56E-06
0.450258493,5.98E-05,-4.38E-06,3.60E-06,,,2.000059789,1.99999561,3.57E-06
0.483973265,5.98E-05,-4.38E-06,3.61E-06,,,2.000059827,1.999995608,3.60E-06
0.518260956,5.98E-05,-4.38E-06,3.59E-06,,,2.000059849,1.999995606,3.63E-06
0.552024841,5.98E-05,-4.38E-06,3.56E-06,,,2.000059879,1.999995604,3.64E-06
0.586054802,5.98E-05,-4.39E-06,3.55E-06,,,2.000059902,1.999995603,3.63E-06
0.62008357,5.98E-05,-4.39E-06,3.57E-06,,,2.000059906,1.9999956,3.62E-06
0.654507875,5.99E-05,-4.39E-06,3.60E-06,,,2.000059918,1.999995597,3.63E-06
0.68872118,5.99E-05,-4.39E-06,3.62E-06,,,2.000059913,1.999995597,3.65E-06
0.723164797,5.99E-05,-4.39E-06,3.62E-06,,,2.000059905,1.999995595,3.67E-06
0.756431103,5.99E-05,-4.40E-06,3.62E-06,,,2.000059902,1.999995593,3.67E-06
0.790463209,5.99E-05,-4.40E-06,3.61E-06,,,2.000059909,1.999995592,3.66E-06
0.824333668,5.99E-05,-4.40E-06,3.61E-06,,,2.000059926,1.999995591,3.64E-06
0.858201504,5.99E-05,-4.40E-06,3.64E-06,,,2.000059948,1.999995589,3.63E-06
0.892246962,5.99E-05,-4.40E-06,3.67E-06,,,2.000059971,1.999995587,3.65E-06
0.926221609,5.99E-05,-4.41E-06,3.67E-06,,,2.000059987,1.999995586,3.68E-06
0.960268736,5.99E-05,-4.41E-06,3.66E-06,,,2.000059984,1.999995583,3.70E-06
0.994190454,5.99E-05,-4.41E-06,3.63E-06,,,2.000059988,1.99999558,3.72E-06
1.028981924,5.99E-05,-4.41E-06,3.62E-06,,,2.000059977,1.99999558,3.72E-06
1.062382936,5.99E-05,-4.41E-06,3.63E-06,,,2.000059967,1.999995578,3.70E-06
1.097277164,5.99E-05,-4.41E-06,3.67E-06,,,2.000059969,1.999995578,3.69E-06
1.131146431,6.00E-05,-4.41E-06,3.69E-06,,,2.000059987,1.999995576,3.68E-06
1.165318727,6.00E-05,-4.42E-06,3.69E-06,,,2.00006002,1.999995575,3.69E-06
1.199910402,6.00E-05,-4.42E-06,3.68E-06,,,2.000060028,1.999995573,3.70E-06
1.233819008,6.00E-05,-4.42E-06,3.67E-06,,,2.000060044,1.999995571,3.72E-06
1.267818928,6.00E-05,-4.42E-06,3.68E-06,,,2.000060053,1.99999557,3.74E-06
1.302387953,6.00E-05,-4.42E-06,3.70E-06,,,2.000060042,1.999995568,3.75E-06
1.336348057,6.00E-05,-4.42E-06,3.72E-06,,,2.000060039,1.999995565,3.76E-06
1.370327711,6.00E-05,-4.43E-06,3.74E-06,,,2.000060038,1.999995566,3.75E-06
1.404034138,6.00E-05,-4.43E-06,3.74E-06,,,2.000060055,1.999995565,3.73E-06
1.437798262,6.00E-05,-4.43E-06,3.72E-06,,,2.000060084,1.999995563,3.72E-06
1.471686125,6.00E-05,-4.43E-06,3.70E-06,,,2.000060086,1.999995562,3.73E-06
1.505529404,6.00E-05,-4.43E-06,3.69E-06,,,2.000060094,1.999995558,3.76E-06
1.539588451,6.00E-05,-4.43E-06,3.71E-06,,,2.000060093,1.999995558,3.79E-06
1.573436022,6.01E-05,-4.43E-06,3.75E-06,,,2.000060087,1.999995557,3.80E-06
1.607831717,6.01E-05,-4.44E-06,3.76E-06,,,2.000060092,1.999995556,3.79E-06
1.64223218,6.01E-05,-4.44E-06,3.75E-06,,,2.000060094,1.999995555,3.76E-06
1.676243782,6.01E-05,-4.44E-06,3.74E-06,,,2.000060109,1.999995554,3.75E-06
1.710222244,6.01E-05,-4.44E-06,3.75E-06,,,2.000060133,1.999995552,3.76E-06
1.744483471,6.01E-05,-4.44E-06,3.76E-06,,,2.000060152,1.999995551,3.78E-06
1.779002905,6.01E-05,-4.44E-06,3.77E-06,,,2.000060171,1.99999555,3.81E-06
1.813565969,6.01E-05,-4.45E-06,3.78E-06,,,2.000060166,1.999995549,3.82E-06
1.847066402,6.01E-05,-4.45E-06,3.80E-06,,,2.000060167,1.999995545,3.83E-06
1.880774021,6.01E-05,-4.45E-06,3.81E-06,,,2.000060159,1.999995545,3.83E-06
1.914640665,6.01E-05,-4.45E-06,3.80E-06,,,2.000060167,1.999995545,3.83E-06
1.94861412,6.01E-05,-4.45E-06,3.78E-06,,,2.000060185,1.999995544,3.81E-06
1.982313633,6.01E-05,-4.45E-06,3.76E-06,,,2.0000602,1.999995543,3.80E-06
2.016987801,6.02E-05,-4.45E-06,3.77E-06,,,2.000060211,1.99999554,3.81E-06
2.050638914,6.02E-05,-4.45E-06,3.79E-06,,,2.000060221,1.999995539,3.84E-06
2.085266113,6.02E-05,-4.45E-06,3.82E-06,,,2.000060213,1.999995539,3.87E-06
2.119564533,6.02E-05,-4.45E-06,3.84E-06,,,2.000060217,1.999995537,3.88E-06
2.153050184,6.02E-05,-4.46E-06,3.84E-06,,,2.000060208,1.999995537,3.86E-06
2.187200069,6.02E-05,-4.46E-06,3.84E-06,,,2.000060219,1.999995537,3.84E-06
2.221216917,6.02E-05,-4.46E-06,3.84E-06,,,2.000060242,1.999995535,3.83E-06
2.255691767,6.02E-05,-4.46E-06,3.85E-06,,,2.000060261,1.999995534,3.84E-06
2.289307356,6.02E-05,-4.46E-06,3.85E-06,,,2.000060288,1.999995533,3.86E-06
2.330738306,6.02E-05,-4.46E-06,3.84E-06,,,2.000060289,1.999995532,3.88E-06
2.368028641,6.02E-05,-4.46E-06,3.83E-06,,,2.000060294,1.999995529,3.90E-06
2.40686655,6.03E-05,-4.46E-06,3.83E-06,,,2.000060297,1.999995528,3.91E-06
2.439857721,6.03E-05,-4.47E-06,3.85E-06,,,2.000060281,1.999995528,3.91E-06
2.473142862,6.03E-05,-4.47E-06,3.87E-06,,,2.000060278,1.999995526,3.90E-06
2.506669044,6.03E-05,-4.47E-06,3.89E-06,,,2.000060278,1.999995527,3.89E-06
2.540176392,6.03E-05,-4.47E-06,3.90E-06,,,2.000060293,1.999995526,3.88E-06
2.573768616,6.03E-05,-4.47E-06,3.90E-06,,,2.000060323,1.999995525,3.88E-06
2.607738972,6.03E-05,-4.47E-06,3.90E-06,,,2.000060351,1.999995525,3.90E-06
2.641705036,6.03E-05,-4.47E-06,3.89E-06,,,2.000060367,1.999995523,3.91E-06
2.675441265,6.03E-05,-4.47E-06,3.88E-06,,,2.00006037,1.999995522,3.93E-06
2.709726572,6.03E-05,-4.47E-06,3.88E-06,,,2.00006038,1.999995521,3.95E-06
2.744027376,6.03E-05,-4.47E-06,3.88E-06,,,2.000060375,1.99999552,3.95E-06
2.778010845,6.03E-05,-4.47E-06,3.90E-06,,,2.000060359,1.999995518,3.95E-06
2.811518431,6.04E-05,-4.48E-06,3.91E-06,,,2.000060358,1.999995519,3.95E-06
2.846080542,6.04E-05,-4.48E-06,3.93E-06,,,2.000060345,1.999995518,3.95E-06
2.880150795,6.04E-05,-4.48E-06,3.94E-06,,,2.000060351,1.999995517,3.94E-06
2.914142609,6.04E-05,-4.48E-06,3.94E-06,,,2.000060372,1.999995516,3.93E-06
2.948055267,6.04E-05,-4.48E-06,3.95E-06,,,2.000060406,1.999995515,3.94E-06
2.982306957,6.03E-05,-4.48E-06,3.95E-06,,,2.000060427,1.999995514,3.95E-06
3.016013384,6.04E-05,-4.48E-06,3.94E-06,,,2.000060454,1.999995512,3.96E-06
3.04978013,6.04E-05,-4.48E-06,3.93E-06,,,2.000060465,1.999995512,3.97E-06
3.084485054,6.04E-05,-4.48E-06,3.92E-06,,,2.000060464,1.999995511,3.99E-06
3.118707895,6.04E-05,-4.48E-06,3.93E-06,,,2.000060471,1.99999551,4.00E-06
3.152664185,6.04E-05,-4.49E-06,3.95E-06,,,2.000060463,1.99999551,4.01E-06
3.188484907,6.04E-05,-4.49E-06,3.97E-06,,,2.000060443,1.999995507,4.01E-06
3.221803904,6.04E-05,-4.49E-06,3.99E-06,,,2.000060441,1.999995509,4.01E-06
3.256381273,6.04E-05,-4.49E-06,4.00E-06,,,2.000060454,1.999995508,3.99E-06
3.292259216,6.04E-05,-4.49E-06,4.00E-06,0,0,2.000060481,1.999995507,3.98E-06
3.32597065,6.04E-05,-4.49E-06,4.00E-06,0,0,2.000060502,1.999995506,3.98E-06
3.359747648,6.04E-05,-4.49E-06,3.99E-06,0,0,2.000060532,1.999995505,4.00E-06
3.360507727,6.04E-05,-4.49E-06,3.97E-06,0.23,nan,2.000060532,1.999995505,4.00E-06
3.393746138,-0.001091845,-4.49E-06,5.89E-06,0.23,nan,2.000060536,1.999995505,4.02E-06
3.428322077,-0.001091845,-4.49E-06,5.89E-06,0.23,nan,2.000060544,1.999995502,4.04E-06
3.462199926,-0.003398683,-4.49E-06,8.91E-06,0.23,nan,2.000060549,1.999995502,4.05E-06
3.505994558,-0.006866972,-4.50E-06,1.09E-05,0.23,nan,2.00006053,1.999995502,4.05E-06
3.506758451,-0.011487888,-4.52E-06,1.06E-05,0.23,nan,2.00006053,1.999995502,4.05E-06
3.542165995,-0.011487888,-4.52E-06,1.06E-05,0.23,-5.23E-05,2.000060529,1.999995501,4.05E-06
3.57779336,-0.017265214,-4.53E-06,8.65E-06,0.23,-5.23E-05,2.000060516,1.999995501,4.04E-06
3.608600378,-0.021889895,-4.52E-06,4.06E-06,0.23,-5.23E-05,2.00006051,1.999995501,4.04E-06
3.609343767,-0.025359828,-4.50E-06,7.47E-07,0.23,-0.001074321,2.00006051,1.999995501,4.04E-06
